algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,exit_code,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.032630998999999994,2.984771573604061,13.571428298950195,150,25,5969,Continuous,,0,68,5969,11,origB9,34,588,303,68,1,47.900376,SatDddSclTotalizer,0.013204679,ok,0.045834652,7,22,33,5969
0.029094548999999997,3.3842105263157896,11.375,130,25,5747,Continuous,,0,48,5747,13,origB10,35,643,353,48,1,41.716544,SatDddSclTotalizer,0.0105608,ok,0.039654583,8,19,16,5747
9.532162834,2.2867924528301886,15.399999618530273,3202,25,75744,Continuous,,0,36,75744,27,origB11,271,1818,410,36,1,17190.149009,SatDddSclTotalizer,2.913840688,ok,12.446002464,25,19,0,75744
0.019612129,1.232905982905983,16.214284896850586,970,25,918,Continuous,,0,34,918,5,origB12,9,577,85,34,1,26.085593,SatDddSclTotalizer,0.005465388,ok,0.025076148,14,5,19,918
,,,,,,cont,124,,,,,trackA1,,,,,,,sat_ddd_scl_totalizer,,external_timeout,,,,,
0.6976557260000007,4.178461538461539,19.0,3735,33,7912,Continuous,,0,55,7912,19,trackA2,435,4074,2196,55,1,13995.152801,SatDddSclTotalizer,8.252679418,ok,8.950333903,25,42,0,7912
0.11736758000000003,3.658469945355191,22.375,2061,33,2148,Continuous,,0,61,2148,13,trackA3,177,2678,1513,61,1,292.546517,SatDddSclTotalizer,0.163699569,ok,0.281066426,16,43,6,2148
0.041397766,2.3260869565217392,19.214284896850586,1175,33,2103,Continuous,,0,47,2103,8,trackA4,56,1284,573,47,1,67.599904,SatDddSclTotalizer,0.022801512,ok,0.064198455,14,20,15,2103
0.089929763,2.7320675105485233,19.25,876,33,2773,Continuous,,0,60,2773,15,trackA5,96,1295,641,60,1,284.448082,SatDddSclTotalizer,0.182724455,ok,0.272653069,12,35,13,2773
0.025912515999999997,2.1862745098039214,18.625,307,33,1760,Continuous,,0,61,1760,6,trackA6,29,669,297,61,1,40.511111,SatDddSclTotalizer,0.012817408,ok,0.038729008,8,17,33,1760
0.025519308,3.0904761904761906,12.625,126,33,1393,Continuous,,0,70,1393,12,trackA7,34,649,348,70,1,41.249195,SatDddSclTotalizer,0.014399447,ok,0.039913243,8,20,39,1393
,,19.88888931274414,4862,33,,Continuous,,0,,,,trackA8,,,,,,,SatDddSclTotalizer,,oom,,27,,,
1.0619256470000007,5.10705596107056,20.049999237060547,2616,33,6955,Continuous,,0,70,6955,22,trackA9,403,4198,2478,70,1,5349.141369,SatDddSclTotalizer,4.731488376,ok,5.793412362,20,56,1,6955
0.11110519799999999,2.5606299212598427,18.176469802856445,1632,33,4812,Continuous,,0,46,4812,13,trackA10,126,1626,679,46,1,246.195791,SatDddSclTotalizer,0.121390252,ok,0.232494527,17,32,1,4812
10.246642430000009,9.542317173377157,20.482759475708008,6144,33,,Continuous,,0,64,11310,107,trackA11,2159,11613,6009,64,1,120635.809989,SatDddSclTotalizer,110.389168945,timeout,120.635809989,29,62,0,22619
23.435665934,8.42684887459807,21.714284896850586,6393,33,,Continuous,,0,46,0,85,trackA12,1738,10483,5332,46,1,120394.349147,SatDddSclTotalizer,96.958684277,timeout,120.394349147,28,45,0,29503
0.039063214,1.8644859813084111,17.33333396911621,2022,25,1507,Continuous,,0,36,1507,6,trackB1,51,1197,393,36,1,47.398986,SatDddSclTotalizer,0.007084866,ok,0.046147357,18,12,13,1507
0.015555030999999999,1.6363636363636365,12.857142448425293,126,25,6912,Continuous,,1,48,6912,3,trackB10,6,306,95,48,1,21.352928,SatDddSclTotalizer,0.005538829,ok,0.021093178,7,2,33,6912
0.974113385,2.0955974842767295,15.399999618530273,3202,25,69208,Continuous,,2,32,69208,9,trackB11,103,1666,553,32,1,1091.291298,SatDddSclTotalizer,0.477639488,ok,1.451751295,25,15,0,69208
0.22422378799999998,2.049145299145299,16.214284896850586,970,25,19676,Continuous,,3,28,19676,10,trackB12,88,959,279,28,1,362.833929,SatDddSclTotalizer,0.116633865,ok,0.340856799,14,13,0,19676
0.019168629,2.052287581699346,14.800000190734863,87,25,5004,Continuous,,0,38,5004,6,trackB2,22,314,109,38,1,25.27872,SatDddSclTotalizer,0.005172905,ok,0.024340495,5,13,12,5004
0.021877487,3.3583815028901736,16.799999237060547,136,20,596,Continuous,,0,65,596,13,trackB3,53,581,286,65,1,34.538501,SatDddSclTotalizer,0.011382083,ok,0.033258553,5,26,29,596
2.843074491,2.2811550151975686,15.949999809265137,2246,25,61031,Continuous,,0,34,61031,14,trackB4,115,1501,525,34,1,3133.111541,SatDddSclTotalizer,0.584497764,ok,3.427571248,20,18,0,61031
0.086659123,5.53551912568306,17.799999237060547,136,25,2370,Continuous,,0,140,2370,16,trackB5,72,1013,690,140,3,372.787353,SatDddSclTotalizer,0.276277216,ok,0.362935495,5,37,90,2370
0.019294153,1.78343949044586,15.199999809265137,93,25,209,Continuous,,0,45,209,4,trackB6,6,280,103,45,1,26.947998,SatDddSclTotalizer,0.006548416,ok,0.025841745,5,2,35,209
1.3420157329999998,2.2222222222222223,15.25,2865,25,56761,Continuous,,0,32,56761,9,trackB7,115,1680,606,32,1,2352.002868,SatDddSclTotalizer,0.859183808,ok,2.201198715,24,16,0,56761
0.028489036000000002,2.352517985611511,13.399999618530273,72,25,1906,Continuous,,0,47,1906,6,trackB8,14,327,146,47,1,39.237493,SatDddSclTotalizer,0.009013212,ok,0.037501591,5,7,29,1906
0.017663587,2.6192893401015227,13.571428298950195,150,25,8874,Continuous,,0,32,8874,10,trackB9,54,516,177,32,1,22.322225,SatDddSclTotalizer,0.003927211,ok,0.021590136,7,16,2,8874
0.019170430999999998,1.6363636363636365,12.857142448425293,126,25,6912,Continuous,,0,48,6912,3,trackB10,6,306,95,48,1,26.004928,SatDddSclTotalizer,0.00598929,ok,0.025158943,7,2,33,6912
1.0937797710000001,2.128301886792453,15.399999618530273,3202,25,69208,Continuous,,0,32,69208,10,trackB11,113,1692,553,32,1,1149.636621,SatDddSclTotalizer,0.408448277,ok,1.502225025,25,15,0,69208
0.18860298,1.9102564102564104,16.214284896850586,970,25,19676,Continuous,,0,26,19676,14,trackB12,67,894,230,26,1,238.332266,SatDddSclTotalizer,0.031765828,ok,0.220367112,14,11,0,19676
,,,,,,cont,137,,,,,stationA1,,,,,,,sat_ddd_scl_totalizer,,killed,,,,,
2.089715272999996,5.752820512820513,19.0,3735,33,,Continuous,,0,51,8728,31,stationA2,687,5609,3121,51,1,121816.718371,SatDddSclTotalizer,119.727032523,timeout,121.816718371,25,47,0,9974
