algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,exit_code,external_status,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.647705878,2.6440944881889763,18.176469802856445,1632,33,4812,Continuous,,,28,54,4812,15,trackA10,114,1679,777,54,1,1184.186846,SatDddScl,0.455876395,ok,1.103581554,17,39,2,4812
,,20.482759475708008,6144,33,,Continuous,,,29,,,,trackA11,,,,,,,SatDddScl,,oom,,29,,,
,,21.714284896850586,6393,33,,Continuous,,,30,,,,trackA12,,,,,,,SatDddScl,,oom,,28,,,
5.148158840000001,3.7702564102564105,19.0,3735,33,7912,Continuous,,,31,55,7912,22,trackA2,389,3676,1874,55,1,12288.542198,SatDddScl,6.509377592,ok,11.657535348,25,42,0,7912
0.436415323,3.4030054644808745,22.375,2061,33,2148,Continuous,,,32,54,2148,12,trackA3,166,2491,1342,54,1,893.665024,SatDddScl,0.403119403,ok,0.839533928,16,38,4,2148
0.175202844,2.5815217391304346,19.214284896850586,1175,33,2103,Continuous,,,33,53,2103,10,trackA4,76,1425,684,53,1,332.498456,SatDddScl,0.13251312,ok,0.307715278,14,32,9,2103
0.29410331,2.151898734177215,19.25,876,33,2773,Continuous,,,34,53,2773,13,trackA5,53,1020,408,53,1,549.596977,SatDddScl,0.213025915,ok,0.507128309,12,27,14,2773
0.08161876199999998,2.264705882352941,18.625,307,33,1760,Continuous,,,35,60,1760,8,trackA6,26,693,329,60,1,131.305418,SatDddScl,0.041211556,ok,0.122829784,8,18,31,1760
0.060527226,2.419047619047619,12.625,126,33,1393,Continuous,,,36,58,1393,7,trackA7,21,508,235,58,1,104.538648,SatDddScl,0.037803374,ok,0.098330036,8,13,34,1393
,,19.88888931274414,4862,33,,Continuous,,,37,,,,trackA8,,,,,,,SatDddScl,,oom,,27,,,
4.013187725,3.953771289537713,20.049999237060547,2616,33,6955,Continuous,,,38,60,6955,20,trackA9,294,3250,1778,60,1,10060.18545,SatDddScl,5.4975031659999996,ok,9.510690097,20,47,0,6955
0.744235064,2.590551181102362,18.176469802856445,1632,33,4812,Continuous,,,39,53,4812,13,trackA10,117,1645,740,53,1,1281.017447,SatDddScl,0.447643933,ok,1.191878115,17,35,5,4812
,,20.482759475708008,6144,33,,Continuous,,,40,,,,trackA11,,,,,,,SatDddScl,,oom,,29,,,
,,21.714284896850586,6393,33,,Continuous,,,41,,,,trackA12,,,,,,,SatDddScl,,oom,,28,,,
0.076630486,1.8862928348909658,17.33333396911621,2022,25,1507,Continuous,,,42,38,1507,7,trackB1,54,1211,413,38,1,111.473148,SatDddScl,0.026288901,ok,0.102918706,18,12,15,1507
0.12031926199999998,1.5508021390374331,12.857142448425293,126,25,6912,Continuous,,,43,49,6912,3,trackB10,4,290,89,49,1,192.665124,SatDddScl,0.059596063,ok,0.17991458,7,1,35,6912
11.284656135999999,1.8314465408805032,15.399999618530273,3202,25,69208,Continuous,,,44,32,69208,9,trackB11,72,1456,421,32,1,17097.681532,SatDddScl,4.344007212,ok,15.62866225,25,15,0,69208
0.941103325,1.9188034188034189,16.214284896850586,970,25,19676,Continuous,,,45,25,19676,15,trackB12,69,898,228,25,1,1282.336053,SatDddScl,0.207613326,ok,1.148715664,14,10,0,19676
0.149760707,2.215686274509804,14.800000190734863,87,25,5004,Continuous,,,46,39,5004,6,trackB2,25,339,128,39,1,248.062251,SatDddScl,0.078881622,ok,0.22864142,5,16,10,5004
0.028574304999999998,3.277456647398844,16.799999237060547,136,20,596,Continuous,,,47,67,596,8,trackB3,35,567,312,67,1,44.233134,SatDddScl,0.013444106,ok,0.042017858,5,21,36,596
,,15.949999809265137,2246,25,,Continuous,,,48,,,,trackB4,,,,,,,SatDddScl,,oom,,20,,,
0.22930450599999996,4.7650273224043715,17.799999237060547,136,25,2490,Continuous,,,49,95,2490,16,trackB5,70,872,543,95,1,573.409984,SatDddScl,0.311861598,ok,0.541165411,5,33,50,2490
0.014821271999999998,1.78343949044586,15.199999809265137,93,25,209,Continuous,,,50,45,209,4,trackB6,6,280,103,45,1,18.85647,SatDddScl,0.003501531,ok,0.018322177,5,2,35,209
8.845746345999999,1.9576719576719577,15.25,2865,25,56761,Continuous,,,51,31,56761,11,trackB7,96,1480,442,31,1,13439.618362,SatDddScl,3.405662657,ok,12.251407577,24,15,0,56761
0.063222683,2.129496402877698,13.399999618530273,72,25,1906,Continuous,,,52,47,1906,5,trackB8,10,296,125,47,1,124.168285,SatDddScl,0.053154138,ok,0.116376161,5,5,31,1906
0.155725955,2.8629441624365484,13.571428298950195,150,25,8874,Continuous,,,53,31,8874,12,trackB9,62,564,213,31,1,209.935348,SatDddScl,0.031928669,ok,0.187654015,7,17,0,8874
0.116435171,1.5508021390374331,12.857142448425293,126,25,6912,Continuous,,,54,49,6912,3,trackB10,4,290,89,49,1,188.391349,SatDddScl,0.058144692,ok,0.174579157,7,1,35,6912
11.995064374000002,1.7723270440251573,15.399999618530273,3202,25,69208,Continuous,,,55,32,69208,9,trackB11,65,1409,394,32,1,20159.585585,SatDddScl,6.7986631509999995,ok,18.793725962,25,12,3,69208
1.358352088,1.893162393162393,16.214284896850586,970,25,19676,Continuous,,,56,26,19676,13,trackB12,72,886,224,26,1,1928.264025,SatDddScl,0.396889309,ok,1.7552406390000002,14,11,0,19676
10.873303825999999,3.7707160096540626,20.931034088134766,5915,33,14121,Continuous,,,57,50,14121,14,stationA1,406,4687,2518,50,1,24127.562551,SatDddScl,11.332839018,ok,22.206142147,29,36,0,14121
2.671984364,3.2173228346456693,18.176469802856445,1632,33,7272,Continuous,,,58,56,7272,21,stationA10,228,2043,964,56,1,6101.338635,SatDddScl,3.054916349,ok,5.726900024,17,43,0,7272
,,20.482759475708008,6144,33,,Continuous,,,59,,,,stationA11,,,,,,,SatDddScl,,oom,,29,,,
,,21.714284896850586,6393,33,,Continuous,,,60,,,,stationA12,,,,,,,SatDddScl,,oom,,28,,,
11.618575368999998,6.038974358974359,19.0,3735,33,,Continuous,,,61,55,9663,35,stationA2,740,5888,3297,54,1,120374.89648099999,SatDddScl,108.75632206,timeout,120.374896481,25,49,0,9974
0.6785945800000001,3.280054644808743,22.375,2061,33,3730,Continuous,,,62,57,3730,10,stationA3,143,2401,1285,57,1,1283.812298,SatDddScl,0.50999614,ok,1.188589943,16,42,3,3730
0.47402342499999994,2.9166666666666665,19.214284896850586,1175,33,3516,Continuous,,,63,78,3516,11,stationA4,77,1610,882,78,1,1295.260212,SatDddScl,0.751754094,ok,1.225776859,14,36,30,3516
0.98967235,3.339662447257384,19.25,876,33,3306,Continuous,,,64,59,3306,20,stationA5,146,1583,826,59,1,2010.082552,SatDddScl,0.900518184,ok,1.890189876,12,43,4,3306
0.064365423,2.0620915032679736,18.625,307,33,2149,Continuous,,,65,52,2149,9,stationA6,23,631,265,52,1,93.230836,SatDddScl,0.021943989,ok,0.086308735,8,14,26,2149
0.08616421200000002,2.6619047619047618,12.625,126,33,1762,Continuous,,,66,55,1762,8,stationA7,26,559,282,55,1,155.23099,SatDddScl,0.058409681,ok,0.144573089,8,15,29,1762
,,19.88888931274414,4862,33,,Continuous,,,67,,,,stationA8,,,,,,,SatDddScl,,oom,,27,,,
4.967163848,4.133819951338199,20.049999237060547,2616,33,8176,Continuous,,,68,59,8176,17,stationA9,305,3398,1917,59,1,13282.822099,SatDddScl,7.628835464,ok,12.595998498,20,45,1,8176
2.1399514400000004,3.058267716535433,18.176469802856445,1632,33,7272,Continuous,,,69,58,7272,17,stationA10,145,1942,982,58,1,4902.809554,SatDddScl,2.474034858,ok,4.613985596,17,40,5,7272
,,,,,,cont,134,aborted,70,,,,stationA11,,,,,,128099,sat_ddd_scl,,aborted,128.099,,,,
,,21.714284896850586,6393,33,,Continuous,,,71,,,,stationA12,,,,,,,SatDddScl,,oom,,28,,,
2.6636570630000005,4.1152647975077885,17.33333396911621,2022,25,5016,Continuous,,,72,67,5016,14,stationB1,211,2642,1518,67,1,8218.231629,SatDddScl,5.177165465,ok,7.840820837,18,50,4,5016
0.09942514599999999,1.4866310160427807,12.857142448425293,126,25,8761,Continuous,,,73,43,8761,4,stationB10,5,278,75,43,1,176.695528,SatDddScl,0.066791668,ok,0.166216117,7,2,27,8761
,,15.399999618530273,3202,25,,Continuous,,,74,,,,stationB11,,,,,,,SatDddScl,,oom,,25,,,
,,16.214284896850586,970,25,,Continuous,,,75,,,,stationB12,,,,,,,SatDddScl,,oom,,14,,,
0.135553898,2.065359477124183,14.800000190734863,87,25,4837,Continuous,,,76,34,4837,5,stationB2,17,316,113,34,1,195.833752,SatDddScl,0.042509349,ok,0.178062608,5,8,13,4837
0.037710536,3.976878612716763,16.799999237060547,136,20,674,Continuous,,,77,67,674,11,stationB3,49,688,381,67,1,68.165665,SatDddScl,0.026632251,ok,0.064342064,5,19,38,674
,,15.949999809265137,2246,25,,Continuous,,,78,,,,stationB4,,,,,,,SatDddScl,,oom,,20,,,
0.108023414,3.8469945355191255,17.799999237060547,136,25,1900,Continuous,,,79,38,1900,11,stationB5,79,704,329,38,1,166.318045,SatDddScl,0.044349655,ok,0.152372089,5,24,3,1900
0.017617534,2.1528662420382165,15.199999809265137,93,25,461,Continuous,,,80,51,461,5,stationB6,10,338,153,51,1,23.427848,SatDddScl,0.005006767,ok,0.022623785,5,6,36,461
,,15.25,2865,25,,Continuous,,,81,,,,stationB7,,,,,,,SatDddScl,,oom,,24,,,
0.08656271099999999,3.093525179856115,13.399999618530273,72,25,2300,Continuous,,,82,72,2300,7,stationB8,20,430,237,72,1,128.64562,SatDddScl,0.032996319,ok,0.119558416,5,13,47,2300
0.598272666,3.6954314720812182,13.571428298950195,150,25,12006,Continuous,,,83,43,12006,11,stationB9,68,728,373,43,1,1024.598048,SatDddScl,0.342189206,ok,0.940461297,7,27,2,12006
0.113093308,1.4866310160427807,12.857142448425293,126,25,8761,Continuous,,,84,43,8761,4,stationB10,5,278,75,43,1,181.008576,SatDddScl,0.054553845,ok,0.1676465,7,2,27,8761
,,15.399999618530273,3202,25,,Continuous,,,85,,,,stationB11,,,,,,,SatDddScl,,oom,,25,,,
,,16.214284896850586,970,25,,Continuous,,,86,,,,stationB12,,,,,,,SatDddScl,,oom,,14,,,
