algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,exit_code,external_status,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,time_to_best_value_ms,time_to_first_solution_ms,time_to_optimality_ms,time_to_prove_best_value_ms,total_time,trains,travel_and_resource_iters,travel_iters,ub,value_trace_version
5.575210108,2.154465004022526,20.931034088134766,5915,33,14025,Continuous,,,24,64,14025,9,trackA1,107,2678,1014,64,1,5741.820284,SatDddSclFreshAddClauses,0.009379502,ok,39.597935,39.597935,5583.653499,5583.653499,5.584589306,29,30,19,14025,1
29.496238165,3.835897435897436,19.0,3735,33,10264,Continuous,,,25,121,10264,22,trackA2,249,3740,1879,121,1,35926.007485,SatDddSclFreshAddClauses,5.56649163,ok,85.504974,85.504974,35062.11644,35062.11644,35.062729435,25,80,26,10264,1
9.760828794999998,2.9959016393442623,22.375,2061,33,3351,Continuous,,,26,92,3351,13,trackA3,93,2193,1114,92,1,14136.129596,SatDddSclFreshAddClauses,4.1786146,ok,33.820653,33.820653,13938.815509,13938.815509,13.939443092,16,37,42,3351,1
0.24619217100000002,1.6322463768115942,19.214284896850586,1175,33,2620,Continuous,,,27,42,2620,7,trackA4,24,901,253,42,1,259.193462,SatDddSclFreshAddClauses,0.004980942,ok,20.818603000000003,20.818603000000003,247.36953400000002,247.36953400000002,0.251172754,14,8,21,2620,1
1.17188396,2.5358649789029535,19.25,876,33,3896,Continuous,,,28,84,3896,11,trackA5,40,1202,576,84,1,1370.801023,SatDddSclFreshAddClauses,0.156811022,ok,32.341815000000004,32.341815000000004,1328.1662569999999,1328.1662569999999,1.328694695,12,25,46,3896,1
0.10345264100000001,1.7941176470588236,18.625,307,33,2194,Continuous,,,29,74,2194,5,trackA6,11,549,203,74,1,114.96857800000001,SatDddSclFreshAddClauses,0.006586949,ok,22.354542000000002,22.354542000000002,109.167439,109.167439,0.11003928,8,6,55,2194,1
0.10088121100000001,1.838095238095238,12.625,126,33,1859,Continuous,,,30,54,1859,4,trackA7,9,386,141,54,1,109.8272,SatDddSclFreshAddClauses,0.005545422,ok,16.490562,16.490562,105.522553,105.522553,0.106426307,8,3,39,1859,1
,,19.88888931274414,4862,33,,Continuous,,,31,,,,trackA8,,,,,,25032.71497,SatDddSclFreshAddClauses,,oom,,,,,,27,,,,
5.502312622,2.8819951338199514,20.049999237060547,2616,33,8320,Continuous,,,32,108,8320,12,trackA9,109,2369,1133,108,1,5672.6447689999995,SatDddSclFreshAddClauses,0.022710379,ok,69.617805,69.617805,5523.493517000001,5523.493517000001,5.525022629,20,50,43,8320,1
1.594267753,1.905511811023622,18.176469802856445,1632,33,6651,Continuous,,,33,56,6651,9,trackA10,44,1210,400,56,1,1644.127137,SatDddSclFreshAddClauses,0.008249177,ok,28.119042,28.119042,1601.347202,1601.347202,1.602516606,17,19,23,6651,1
,,20.482759475708008,6144,33,,Continuous,,,34,,,,trackA11,,,,,,26709.168741999998,SatDddSclFreshAddClauses,,oom,,,,,,29,,,,
,,,,,,cont,124,external_timeout,35,,,,trackA12,,,,,,153299,sat_ddd_scl_fresh_addclauses,,external_timeout,,,,,153.299,,,,,
96.98723011999999,3.635514018691589,17.33333396911621,2022,25,,Continuous,,,36,126,0,14,trackB1,106,2334,1288,125,1,122122.402934,SatDddSclFreshAddClauses,24.022369615,timeout,66521.92616799999,27.940673,,,121.009599425,18,50,72,3403,1
