algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,exit_code,external_status,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,status,time_to_best_value_ms,time_to_first_solution_ms,time_to_optimality_ms,time_to_prove_best_value_ms,total_time,trains,travel_and_resource_iters,travel_iters,ub,value_trace_version
5.829232225999999,2.154465004022526,20.931034088134766,5915,33,14025,Continuous,,,24,64,14025,9,trackA1,107,2678,1014,64,1,5986.672227999999,SatDddSclFreshAddClauses,0.009412324,ok,38.679621,38.679621,5837.863486,5837.863486,5.838644225,29,30,19,14025,1
29.653194113999998,3.835897435897436,19.0,3735,33,10264,Continuous,,,25,121,10264,22,trackA2,249,3740,1879,121,1,35842.840354,SatDddSclFreshAddClauses,5.342963817,ok,81.14944200000001,81.14944200000001,34995.268543,34995.268543,34.996157595,25,80,26,10264,1
9.185932018,2.9959016393442623,22.375,2061,33,3351,Continuous,,,26,92,3351,13,trackA3,93,2193,1114,92,1,13375.310868,SatDddSclFreshAddClauses,3.995541135,ok,34.722058,34.722058,13180.601096,13180.601096,13.181472891,16,37,42,3351,1
0.23864079200000002,1.6322463768115942,19.214284896850586,1175,33,2620,Continuous,,,27,42,2620,7,trackA4,24,901,253,42,1,251.41471900000002,SatDddSclFreshAddClauses,0.004599259,ok,19.978416,19.978416,241.76595600000002,241.76595600000002,0.243239746,14,8,21,2620,1
1.1846453319999999,2.5358649789029535,19.25,876,33,3896,Continuous,,,28,84,3896,11,trackA5,40,1202,576,84,1,1368.050793,SatDddSclFreshAddClauses,0.142608646,ok,32.185861,32.185861,1324.847469,1324.847469,1.327253682,12,25,46,3896,1
0.100476761,1.7941176470588236,18.625,307,33,2194,Continuous,,,29,74,2194,5,trackA6,11,549,203,74,1,111.81058300000001,SatDddSclFreshAddClauses,0.006376226,ok,22.325867,22.325867,105.93022,105.93022,0.106852668,8,6,55,2194,1
0.106417648,1.838095238095238,12.625,126,33,1859,Continuous,,,30,54,1859,4,trackA7,9,386,141,54,1,117.100866,SatDddSclFreshAddClauses,0.006768494,ok,19.93978,19.93978,111.873988,111.873988,0.113185777,8,3,39,1859,1
,,19.88888931274414,4862,33,,Continuous,,,31,,,,trackA8,,,,,,24809.868956,SatDddSclFreshAddClauses,,oom,,,,,,27,,,,
5.327480200999999,2.8819951338199514,20.049999237060547,2616,33,8320,Continuous,,,32,108,8320,12,trackA9,109,2369,1133,108,1,5473.3895219999995,SatDddSclFreshAddClauses,0.023064737,ok,71.427617,71.427617,5349.769923,5349.769923,5.350544607,20,50,43,8320,1
1.5337012410000002,1.905511811023622,18.176469802856445,1632,33,6651,Continuous,,,33,56,6651,9,trackA10,44,1210,400,56,1,1578.668191,SatDddSclFreshAddClauses,0.007015193,ok,25.12761,25.12761,1539.85758,1539.85758,1.540716124,17,19,23,6651,1
,,20.482759475708008,6144,33,,Continuous,,,34,,,,trackA11,,,,,,25247.220968,SatDddSclFreshAddClauses,,oom,,,,,,29,,,,
,,,,,,cont,134,aborted,35,,,,trackA12,,,,,,121860,sat_ddd_scl_fresh_addclauses,,aborted,,,,,121.86,,,,,
96.500693731,3.635514018691589,17.33333396911621,2022,25,,Continuous,,,36,126,0,14,trackB1,106,2334,1288,125,1,121560.726117,SatDddSclFreshAddClauses,23.982510709,timeout,66131.326394,26.221069,,,120.483204192,18,50,72,3403,1
11.414774801,2.503267973856209,14.800000190734863,87,25,4404,Continuous,,,37,71,4404,11,trackB2,20,383,154,71,2,12333.846205,SatDddSclFreshAddClauses,0.696705613,ok,4603.3422,17.547866,12110.292285,12110.292285,12.111480113,5,14,41,4404,1
0.044785704999999995,2.566473988439306,16.799999237060547,136,20,749,Continuous,,,38,71,749,6,trackB3,14,444,217,71,1,53.609031,SatDddSclFreshAddClauses,0.006886344,ok,18.016973,18.016973,50.931451,50.931451,0.051671789,5,9,51,749,1
,,15.949999809265137,2246,25,,Continuous,,,39,,,,trackB4,,,,,,46183.300351,SatDddSclFreshAddClauses,,oom,,,,,,20,,,,
0.06724832900000001,1.7650273224043715,17.799999237060547,136,25,1696,Continuous,,,40,37,1696,4,trackB5,10,323,100,37,1,73.38964800000001,SatDddSclFreshAddClauses,0.003840288,ok,17.791656999999997,17.791656999999997,70.046553,70.046553,0.071088277,5,4,21,1696,1
0.017319975,1.7770700636942676,15.199999809265137,93,25,209,Continuous,,,41,61,209,4,trackB6,4,279,106,61,1,21.828851999999998,SatDddSclFreshAddClauses,0.004063299,ok,18.286659,16.981920000000002,21.015728,21.015728,0.021382977,5,1,50,209,1
,,15.25,2865,25,,Continuous,,,42,,,,trackB7,,,,,,55454.517787,SatDddSclFreshAddClauses,,oom,,,,,,24,,,,
1.370039641,2.2302158273381294,13.399999618530273,72,25,2149,Continuous,,,43,63,2149,6,trackB8,10,310,131,63,2,1478.776679,SatDddSclFreshAddClauses,0.075748403,ok,426.13041899999996,17.845269000000002,1445.031686,1445.031686,1.445787736,5,5,43,2149,1
5.5581505,3.700507614213198,13.571428298950195,150,25,11706,Continuous,,,44,79,11706,12,trackB9,41,729,378,79,1,5752.039066,SatDddSclFreshAddClauses,0.01015795,ok,30.484582,30.484582,5567.593451000001,5567.593451000001,5.568308132,7,28,36,11706,1
0.274018272,1.3155080213903743,12.857142448425293,126,25,7941,Continuous,,,45,34,7941,3,trackB10,4,246,43,34,1,286.39776300000005,SatDddSclFreshAddClauses,0.003831524,ok,16.425065,16.425065,276.61202499999996,276.61202499999996,0.27784952,7,1,19,7941,1
,,15.399999618530273,3202,25,,Continuous,,,46,,,,trackB11,,,,,,61228.360008,SatDddSclFreshAddClauses,,oom,,,,,,25,,,,
,,,,,,cont,137,killed,47,,,,trackB12,,,,,,170007,sat_ddd_scl_fresh_addclauses,,killed,,,,,170.007,,,,,
