algorithm_time,avg_time_points,avg_tracks,conflicting_visit_pairs,conflicts,cost,delay_cost_type,index,iterations,lb,max_time_points,name,num_conflicts,num_time_points,num_traveltime,objective_iters,resource_iters,sol_time,solver_name,solver_time,total_time,trains,travel_and_resource_iters,travel_iters,ub
0.002106294,2.4,12.625,126,33,8,FiniteSteps123,30,57,8,8,trackA7,223,504,223,8,1,2.504759,MaxSatDddLadderScl,0.00035015,0.002455874,8,10,37,8
0.065417223,12.945504087193461,19.88888931274414,4862,33,38,FiniteSteps123,31,240,38,109,trackA8,9531,14253,9531,38,4,243.792446,MaxSatDddLadderScl,0.177275827,0.242692344,27,194,3,38
0.010112166000000002,3.3223844282238444,20.049999237060547,2616,33,25,FiniteSteps123,32,111,25,17,trackA9,1396,2731,1396,25,1,16.647951,MaxSatDddLadderScl,0.006235894,0.016347416,20,46,38,25
0.005605264,2.58740157480315,18.176469802856445,1632,33,17,FiniteSteps123,33,86,17,12,trackA10,732,1643,732,17,1,7.587886,MaxSatDddLadderScl,0.001849111,0.007453836,17,40,27,17
0.03977786,11.399342645850451,20.482759475708008,6144,33,37,FiniteSteps123,34,145,37,128,trackA11,9726,13873,9726,37,1,186.823045,MaxSatDddLadderScl,0.145847541,0.185624653,29,108,0,37
0.089391565,20.877009646302252,21.714284896850586,6393,33,40,FiniteSteps123,35,248,40,318,trackA12,24971,25971,24971,40,1,391.204865,MaxSatDddLadderScl,0.29951666,0.388907223,28,206,0,40
0.00638999,2.4626168224299065,17.33333396911621,2022,25,14,FiniteSteps123,36,92,14,8,trackB1,743,1581,743,14,1,8.553771,MaxSatDddLadderScl,0.002068867,0.0084582,18,29,49,14
0.001264248,1.9477124183006536,14.800000190734863,87,25,5,FiniteSteps123,37,45,5,5,trackB2,97,298,97,5,2,1.482095,MaxSatDddLadderScl,0.000178199,0.001441712,5,6,31,5
0.002273987,3.23121387283237,16.799999237060547,136,20,4,FiniteSteps123,38,69,4,11,trackB3,281,559,281,4,1,2.750878,MaxSatDddLadderScl,0.000455974,0.00272937,5,24,41,4
0.011361323999999999,3.8343465045592704,15.949999809265137,2246,25,24,FiniteSteps123,39,126,24,34,trackB4,1288,2523,1288,24,1,18.03196,MaxSatDddLadderScl,0.006502238,0.017862835,20,72,28,24
0.002624387,3.1256830601092895,17.799999237060547,136,25,7,FiniteSteps123,40,74,7,8,trackB5,305,572,305,7,1,3.536095,MaxSatDddLadderScl,0.000885188,0.003508906,5,12,53,7
0.001207361,1.7515923566878981,15.199999809265137,93,25,2,FiniteSteps123,41,42,2,4,trackB6,98,275,98,2,1,1.41747,MaxSatDddLadderScl,0.000166623,0.001373456,5,2,36,2
0.007700704,3.2063492063492065,15.25,2865,25,30,FiniteSteps123,42,100,30,9,trackB7,1242,2424,1242,30,1,12.692754,MaxSatDddLadderScl,0.004841258,0.012541213,24,41,27,30
0.001378041,2.194244604316547,13.399999618530273,72,25,9,FiniteSteps123,43,56,9,5,trackB8,131,305,131,9,1,1.582496,MaxSatDddLadderScl,0.000188143,0.001565659,5,5,40,9
0.001946626,4.274111675126903,13.571428298950195,150,25,9,FiniteSteps123,44,47,9,16,trackB9,448,842,448,9,1,2.606158,MaxSatDddLadderScl,0.000620288,0.002566458,7,31,5,9
0.001275977,1.641711229946524,12.857142448425293,126,25,8,FiniteSteps123,45,47,8,4,trackB10,90,307,90,8,1,1.410281,MaxSatDddLadderScl,0.000113744,0.001389149,7,3,34,8
0.012026080000000001,3.7572327044025156,15.399999618530273,3202,25,36,FiniteSteps123,46,132,36,24,trackB11,1535,2987,1535,36,3,21.267522,MaxSatDddLadderScl,0.009056274,0.021081732,25,83,9,36
0.0045143779999999994,2.8696581196581197,16.214284896850586,970,25,16,FiniteSteps123,47,81,16,16,trackB12,633,1343,633,16,1,5.968967,MaxSatDddLadderScl,0.001400611,0.00591451,14,32,31,16
0.021910653000000002,5.01206757843926,20.931034088134766,5915,33,39,FiniteSteps123,48,147,39,24,stationA1,3860,6230,3860,39,1,56.154876,MaxSatDddLadderScl,0.033867572,0.055777417,29,92,14,39
0.019317369999999997,5.811282051282051,19.0,3735,33,42,FiniteSteps123,49,151,43,26,stationA2,3549,5666,3549,43,8,43.955161,MaxSatDddLadderScl,0.024267158,0.043583875,25,93,6,43
0.008494090999999999,3.3975409836065573,22.375,2061,33,20,FiniteSteps123,50,106,20,13,stationA3,1425,2487,1425,20,2,14.197976,MaxSatDddLadderScl,0.005556009,0.014049444,16,47,36,20
0.007387683000000001,3.175724637681159,19.214284896850586,1175,33,17,FiniteSteps123,51,126,17,13,stationA4,990,1753,990,17,1,10.620195,MaxSatDddLadderScl,0.003165204,0.010552318,14,37,70,17
0.005877172999999999,3.327004219409283,19.25,876,33,16,FiniteSteps123,52,91,16,17,stationA5,835,1577,835,16,1,8.633633,MaxSatDddLadderScl,0.002689382,0.00856583,12,42,31,16
0.001840588,2.052287581699346,18.625,307,33,10,FiniteSteps123,53,54,10,10,stationA6,244,628,244,10,1,2.165996,MaxSatDddLadderScl,0.000302473,0.002142544,8,19,23,10
0.0036133349999999996,2.880952380952381,12.625,126,33,12,FiniteSteps123,54,103,12,8,stationA7,330,605,330,12,1,4.782851,MaxSatDddLadderScl,0.00114323,0.004755932,8,11,78,12
0.041507215,13.923705722070844,19.88888931274414,4862,33,44,FiniteSteps123,55,186,44,102,stationA8,11074,15330,11074,44,1,148.978818,MaxSatDddLadderScl,0.106583631,0.148089989,27,140,0,44
0.011503935,4.018248175182482,20.049999237060547,2616,33,28,FiniteSteps123,56,130,28,25,stationA9,1913,3303,1913,28,1,19.209811,MaxSatDddLadderScl,0.007525483,0.019028798,20,60,40,28
0.004902375,2.8125984251968505,18.176469802856445,1632,33,21,FiniteSteps123,57,78,21,17,stationA10,812,1786,812,21,3,6.769044,MaxSatDddLadderScl,0.00178939,0.006691312,17,44,9,21
